2023-09-28 08:31:05,653.smoker_temp_producer.INFO --------------------------------------------------
2023-09-28 08:31:05,653.smoker_temp_producer.INFO Today is 2023-09-28 at 08:31 AM
2023-09-28 08:31:05,654.smoker_temp_producer.INFO Running on: posix Darwin 19.6.0
2023-09-28 08:31:05,654.smoker_temp_producer.INFO Python version:  3.11.4
2023-09-28 08:31:05,654.smoker_temp_producer.INFO Python path: /Users/ashleymersman/Desktop/Streaming/streaming_06_smartsmoker/.venv
2023-09-28 08:31:05,654.smoker_temp_producer.INFO Working dir: /Users/ashleymersman/Desktop/Streaming/streaming_06_smartsmoker
2023-09-28 08:31:05,654.smoker_temp_producer.INFO --------------------------------------------------
2023-09-28 08:31:05,823.smoker_temp_producer.INFO Header skipped
2023-09-28 08:31:05,823.smoker_temp_producer.INFO  [x] Sent ('05/22/21 12:20:15', '84.2') to 01-smoker
2023-09-28 08:31:05,823.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:20:15', '') to 02-food-A
2023-09-28 08:31:05,824.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:20:15', '') to 03-food-B
2023-09-28 08:31:35,828.smoker_temp_producer.INFO  [x] Sent ('05/22/21 12:20:20', '84.2') to 01-smoker
2023-09-28 08:31:35,828.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:20:20', '') to 02-food-A
2023-09-28 08:31:35,828.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:20:20', '') to 03-food-B
2023-09-28 08:32:05,834.smoker_temp_producer.INFO  [x] Sent ('05/22/21 12:21:10', '87.6') to 01-smoker
2023-09-28 08:32:05,834.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:21:10', '') to 02-food-A
2023-09-28 08:32:05,834.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:21:10', '') to 03-food-B
2023-09-28 08:32:35,836.smoker_temp_producer.INFO  [x] Sent ('05/22/21 12:21:15', '87.6') to 01-smoker
2023-09-28 08:32:35,837.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:21:15', '') to 02-food-A
2023-09-28 08:32:35,837.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:21:15', '') to 03-food-B
2023-09-28 08:33:05,842.smoker_temp_producer.INFO  [x] Sent ('05/22/21 12:22:10', '86.3') to 01-smoker
2023-09-28 08:33:05,843.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:22:10', '') to 02-food-A
2023-09-28 08:33:05,843.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:22:10', '') to 03-food-B
2023-09-28 08:33:35,845.smoker_temp_producer.INFO  [x] Sent ('05/22/21 12:22:15', '86.3') to 01-smoker
2023-09-28 08:33:35,846.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:22:15', '') to 02-food-A
2023-09-28 08:33:35,846.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:22:15', '') to 03-food-B
2023-09-28 08:34:05,848.smoker_temp_producer.INFO  [x] Sent ('05/22/21 12:23:10', '92.0') to 01-smoker
2023-09-28 08:34:05,849.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:23:10', '') to 02-food-A
